domain,email,first_name,company,phone,city
frauenaerztefrauenfeld.ch,,,"Frauenärzte Frauenfeld","",""
frauenpraxis-basel.ch,,,"Frauenpraxis im Hammer","+41 61 683 75 35",""
frauundkind.ch,,,"Praxis für Frau und Kind","",""
gemeinschaftspraxis-othmarsingen.ch,,,"Gemeinschaftspraxis Othmarsingen","+41 62 889 02 33","Othmarsingen"
gerbipraxis.ch,,,"Hausarztpraxis gerbi Uerikon","+41 44 928 29 00",""
haus-und-kinderarztpraxis-alterswil.ch,,,"Hausarztpraxis Alterswil","+41 26 494 33 11","Alterswil"
hautoffice.ch,,,"Hautoffice.com","",""
hirslanden.ch,,,"Hirslanden Praxiszentrum Düdingen","+41 26 492 80 00","Düdingen"
hug-ge.ch,,,"Hôpital des enfants","+41 22 372 40 00",""
kinderarztpraxis-seestern.ch,,,"Kinderarztpraxis Seestern","+41 44 711 75 11","Adliswil"
laserdermato.ch,,,"Centre Laserdermato Rive Gauche","+41 22 566 69 70",""
lenzmed.ch,,,"LenzMed","+41 62 886 11 77",""
localmed.ch,,,"City Notfall","+41 31 326 20 00",""
mabulle.ch,,,"Dr. Potron Roduit","+41 77 527 94 14","Bulle"
medici-zell.ch,,,"Medici Ärztezentrum","+41 41 989 70 70","Zell (LU)"
medix-notfallpraxis.ch,,,"MediX Notfallpraxis","+41 44 298 50 50","Zürich"
monvia.ch,,,"Gesundheitszentrum Monvia","+41 41 449 61 70","Inwil"
naturarzt-basel.ch,,,"Praxis C. Semlitsch","","Basel"
omagnetiseur.ch,,,"Soins magnétisme","+41 79 825 73 85",""
onedoc.ch,,,"Centre médical","+41 26 413 28 88",""
pediatre-vevey.ch,,,"Cabinet de pédiatrie - Dr Aubert, Dr Bloetzer-Koch, Dr Wyss Chambaz","+41 21 921 33 46",""
permedico.ch,,,"Permedico SA","+41 21 635 88 45","Renens"
physio-centre.net,,,"Physio-Centre de Coppet","+41 22 776 27 27",""
plastische-chirurgie-in-basel.ch,,,"Praxis für Plastische Chirurgie Basel","+41 61 317 40 40","Basel"
policlinique-venoge.ch,,,"Policlinique de la Venoge","+41 21 861 14 14",""
praxis-braekerplatz.ch,,,"Praxis am Bräkerplatz","","Wattwil"
praxis-uetendorf.ch,,,"Gemeinschaftspraxis Uetendorf Dr. med. Matthias Tapis - Dr. med. Mirjam Rolli","","Uetendorf"
praxisdrwuest.ch,,,"Praxis Dr. med. Markus Wüst","+41 41 320 11 52","Kriens"
praxishammer.ch,,,"Praxis Hammer","",""
praxisimbreitenrain.ch,,,"Praxis im Breitenrain","+41 31 332 44 31","Bern"
praxisquellen.ch,,,"Gemeinschaftspraxis Quellen","+41 44 940 25 00",""
rappjmed.ch,,,"RappJMed","+41 55 224 10 00",""
rhydorfpraxis.ch,,,"Rhydorf Praxis","+41 71 722 61 61","Widnau"
sanum-femina.ch,,,"Sanum Femina","+41 62 892 13 13","Niederlenz"
swissoxygen.ch,,,"Hyperbarzentrum Basel","","Basel"
tannenhofpraxis.ch,,,"Giuseppe Curcio","+41 55 240 82 01","Dürnten"
testsa.ch,,,"Espace Lab","+41 22 716 30 50","Genève"
urologin.ch,,,"Urologische Praxis","",""
xundheitszentrum.ch,,,"Gesundheitszentrum Escholzmatt","+41 41 487 72 82",""
aerztezentrum-muellheim.ch,,,"Ärztezentrum Müllheim","+41 52 763 13 00","Müllheim"
chuv.ch,,,"Service de psychiatrie pour enfants et adolescents","+41 22 994 89 89",""
cmsp.ch,,,"CMSP Centre médical et sportif de peillonnex","+41 22 860 06 00","Chêne-Bourg"
doktor-haus.ch,,,"DoktorHaus","+41 56 493 36 46",""
effingerhort.ch,,,"Effingerhort","+41 62 887 80 80","Holderbank AG"
gemeinschaftspraxis-brunnmatt.ch,,,"Gemeinschaftspraxis Brunnmatt","+41 31 378 38 38","Bern"
gerberhostettler-willi.ch,,,"GemeinschaftsAugenarztpraxis","+41 61 260 99 11","Basel"
hausarztbaden.ch,,,"Hausarztpraxis Baden","",""
hug.ch,,,"Urgences gynéco-obstétricales","",""
imamed.ch,,,"Imamed","+41 61 686 42 42","Basel"
kinderarzthaus.ch,,,"Kinderarzthaus","+41 62 837 07 07","Aarau"
ksa.ch,,,"KSA am Bahnhof Ambulatorium","+41 62 838 41 41","Aarau"
markircherpraxis.ch,,,"Markircher Praxis","","Basel"
medbase.ch,,,"Praxis ""Medbase"" Luzern","+41 41 318 61 61","Luzern"
mzarbon.ch,,,"Medizinisches Zentrum","+41 71 447 66 66",""
neurologie-toggenburg.ch,,,"Neurologie Toggenburg","","Wattwil"
nzbern.ch,,,"Neurozentrum Bern","+41 31 330 60 70",""
ocbasel.ch,,,"OCB - Orthopädische Chirurgie Basel","+41 61 315 30 70","Basel"
ophtarive.ch,,,"Centre Ophtalmologique de Rive","+41 22 959 75 75","Genève"
pediatre-ge.ch,,,"Garde Pédiatrique Lancy","+41 84 402 20 22",""
pediatriemorges.ch,,,"Cabinet de pédiatrie - Dr Kirchhofer et Dr Cegielski","",""
praxisimvieri.ch,,,"Praxis Im Vieri","+41 62 838 04 04","Aarau"
spiraldynamik.com,,,"Spiraldynamik","","Basel"
tcm-hausaerzte.ch,,,"Dr. med. Adrien Berthoud","+41 44 932 61 00","Wetzikon"
urologiepraxis-basel.ch,,,"Urologie Praxis am Bethesda Spital","+41 61 511 10 00","Basel"
vista.ch,,,"Vista Augenpraxis","",""
zwidellen2.ch,,,"Hausärzte GmbH","","Frick"
