domain,email,first_name,company,phone,city
fiteria.ch,,,"Fiteria","+41 33 525 03 33","Mühlethurnen"
goethephysio.com,,,"Physio Goethezentrum","+41 43 477 06 27","Stäfa"
kandelphysio.ch,,,"Physiotherapie Kandel","+41 71 761 35 33","Oberriet SG"
lapermanencephysio.ch,,,"La permanence physio","",""
mojodo.ch,,,"mojodo | praxis und beratung wüthrich","+41 78 898 60 10","Burgdorf"
parkresort.ch,,,"Salina Physiotherapie","",""
physio-basel.ch,,,"PhysioBasel","+41 78 667 77 93",""
physio-nierle.ch,,,"Physiotherapie Nierle","","Luzern"
physio-schifflaende.ch,,,"Physiotherapie zur Schiffländi","+41 61 262 09 06","Basel"
physiobarillette.ch,,,"Centre de Physiothérapie de la Barillette","",""
physiofdr.ch,,,"Physio FDR Sport","+41 71 544 34 24","Heerbrugg"
physioguzman.ch,,,"Physiotherapie Guzman & Team","+41 56 441 36 41","Brugg AG"
physiohansjansen.ch,,,"Physiotherapie Jansen","+41 62 723 96 43","Unterentfelden"
physiolab-bern.ch,,,"Physiolab Bern","",""
physiotherapie-du-parc.ch,,,"Physiothérapie du Parc","",""
physiotherapie-duerr.ch,,,"Physio- & Craniosacral Therapie Julia Dürr","+41 78 634 79 53","Rorschach"
physiotherapie-wick.ch,,,"Physiotherapie Wick","+41 71 951 05 15","Niederuzwil"
physiozeit.ch,,,"HEYM","+41 41 929 05 05","Geuensee"
physiozentrum.ch,,,"Physiozentrum","",""
rehacenter-physiofit.ch,,,"Rehacenter Physiofit","","St. Gallen"
therapie-fricktal.ch,,,"Therapie Fricktal","+41 62 873 10 90","Stein"
therapie-sala.ch,,,"Sala Therapie & Training","+41 44 885 10 10",""
wyss-physio.ch,,,"Physiotherapie Wyss","",""
