domain,email,first_name,company,phone,city
gesine-fuchs.net,,,"Gesine Fuchs. Forschung & Beratung","+41 61 261 66 62","Basel"
goldingerit.ch,,,"Goldinger IT GmbH","+41 52 543 10 10","Frauenfeld"
humanstate.com,,,"Humanstate Sàrl","",""
ibwag.com,,,"ibw ag software","+41 56 201 07 07","Vogelsang"
ictfactory.ch,,,"ICT Factory GmbH","","Schmitten FR"
idesoft.ch,,,"Idesoft Informatique Services","+41 21 636 30 09","Lonay"
info-concept.ch,,,"Info-Concept","+41 78 628 60 06","Estavayer-le-Lac"
info.bienvu.ch,,,"Bienvu Informatique","+41 22 552 20 21",""
inhivegroup.com,,,"Inhive Group","+41 61 505 01 00","Basel"
its4all.ch,,,"IT-Services 4 all GmbH","+41 79 679 48 29",""
jmc-software.ch,,,"JMC Systems GmbH","+41 41 799 02 20","Nottwil"
joesnet.ch,,,"joesnet webdesign","",""
kierzekag.swiss,,,"Kierzek AG","+41 71 672 72 35","Kreuzlingen"
konzeptplus.ch,,,"konzeptplus","+41 71 999 22 92","Unterwasser"
kosmos.ch,,,"Kosmos Bürotechnik AG","+41 56 622 11 10",""
logicore.ch,,,"Logicore","",""
lsi-media.ch,,,"LSI Media Sàrl","","Les Acacias"
mckinsey.com,,,"McKinsey & Company","+41 22 744 20 00","Genève"
micrite.ch,,,"Micrite","","VERNIER"
movis.ch,,,"Movis","",""
navixia.com,,,"Navixia SA","","Ecublens (VD)"
niceplaces-ge.ch,,,"NicePlaces Sàrl","+41 22 792 84 31","Petit-Lancy"
nomades.ch,,,"Nomades Advanced Technologies","",""
nomadstar.ch,,,"NomadStar","","Fribourg"
octree.ch,,,"Octree","",""
optobyte.ch,,,"Optobyte AG","+41 62 775 36 00",""
otb-consulting.ch,,,"OTB Consulting GmbH","+41 61 500 04 05","Basel"
oxand.ch,,,"Oxand","",""
pascal-lab.ch,,,"PASCAL Lab Sàrl","+41 22 508 74 72","Genève"
perspektive-tg.ch,,,"Mütter- und Väterberatung","",""
pix4d.com,,,"Pix4D","+41 21 552 05 96","Prilly"
proton.me,,,"Proton AG","","Plan-les-Ouates"
rationalk.ch,,,"Rationalk","",""
salzmann.solutions,,,"salzmann.solutions","+41 52 551 01 29","Frauenfeld"
scatterwork.com,,,"Scatterwork GmbH","+41 79 692 47 35","Kesswil"
speedy-software.ch,,,"Speedy-Software","","Bürglen TG"
sportfront.ch,,,"Sportfront","",""
stadt-zuerich.ch,,,"Einsatzzentrale Rettung Sanitätsnotrufzentrale beider Basel","+41 44 289 33 33",""
stepping-stone.ch,,,"stepping stone","+41 31 332 53 63",""
swiss-electronics.ch,,,"Swiss Electronics GmbH","+41 71 511 21 82","Kradolf"
swissdotnet.ch,,,"Swissdotnet SA","+41 26 510 29 30","Corminboeuf"
synax.io,,,"synax","",""
t-p.ch,,,"Triestram & Partner","+41 31 981 44 44","Niederwangen bei Bern"
timesplinter.ch,,,"TiMESPLiNTER Webdevelopment","",""
uffizio.ch,,,"Uffizio GmbH","","Düdingen"
umb.ch,,,"UMB","",""
virtido.com,,,"Virtido","+41 43 544 34 96",""
visionapart.com,,,"Vision Apart","+41 21 558 02 00","Montreux"
webtiser.ch,,,"webtiser AG","+41 44 445 55 00","Zürich"
widmerinfo.ch,,,"Widmer Informatik","+41 56 210 46 86",""
wifx.net,,,"Wifx Sàrl","+41 24 550 01 70","Yverdon-les-Bains"
wildtreetech.com,,,"Wild Tree Tech","","Brugg AG"
xmatik.ch,,,"Xmatik AG","","Arbon"
ziil.ch,,,"Ziil Informatiklösungen GmbH","+41 71 671 27 78","Kreuzlingen"
adfinis.com,,,"Adfinis AG","+41 31 550 31 11","Bern"
affolter-engineering.ch,,,"Affolter Engineering","+41 31 511 06 60",""
apptiva.ch,,,"Apptiva AG","+41 41 322 26 26","Luzern"
arcade.ch,,,"arcade solutions ag","+41 41 417 31 73","Luzern"
aregger-consulting.ch,,,"Aregger Consulting","+41 41 410 10 30","Luzern"
aveniq.ch,,,"Aveniq AG","+41 62 789 71 71","Oftringen"
axonactive.ch,,,"Axon Active AG","+41 41 249 25 70","Lucerna"
bcom-informatik.ch,,,"BCOM Informatik","+41 41 971 09 71",""
bedag.ch,,,"Bedag","",""
bithawk.ch,,,"BitHawk","+41 58 226 09 00",""
bluemouse.ch,,,"BlueMouse GmbH","+41 80 010 09 00","Baden"
buerorafz.ch,,,"buerorafz","+41 44 521 44 11","Rafz"
canoo.com,,,"Canoo","+41 61 228 94 44","Basel"
codelabs.ch,,,"codelabs GmbH","+41 71 571 08 16",""
cyon.ch,,,"cyon AG","+41 61 588 15 15","Basel"
dizmo.com,,,"dizmo inc","","Winterthur"
dvbern.ch,,,"DV Bern","+41 31 378 24 24",""
eps.ch,,,"EPS Software Engineering","",""
fedinet.ch,,,"Fedinet","+41 71 508 14 51","Gossau SG"
finstar.ch,,,"Finstar","","Lenzburg"
fischer-ict.ch,,,"Fischer-ICT","+41 33 671 01 00","Frutigen"
glue.ch,,,"GLUE","+41 31 385 30 11",""
gmg.biz,,,"GMG GmbH","+41 81 750 62 62","Buchs (SG)"
hintag.ch,,,"HINT AG","+41 58 404 57 00","Lenzburg"
hostpoint.ch,,,"Hostpoint AG","","Rapperswil-Jona"
icx.ch,,,"icx gmbh","+41 31 994 21 11","Bern"
infosystem.ch,,,"Infosystem AG","","Wil"
init7.net,,,"Init7 (Schweiz) AG","+41 44 315 44 00","Winterthur"
jaeger-it.ch,,,"JÄGER IT GmbH","+41 56 556 55 11","Seon"
konoma.ch,,,"Konoma GmbH","","Brugg AG"
le5.ch,,,"le5 GmbH","",""
liip.ch,,,"Liip AG","","Zürich"
loewenfels.ch,,,"Löwenfels Partner AG","",""
lu-its.ch,,,"Luzerner IT Solutions","+41 41 491 02 93",""
madvoxel.com,,,"MadVoxel AG","","St. Gallen"
md-systems.ch,,,"MD Systems","+41 43 344 03 56",""
messerli.ch,,,"Messerli Informatik AG","+41 56 418 38 00","Spreitenbach"
metanet.ch,,,"Metanet","+41 80 014 77 41","Zürich"
mtf-be.ch,,,"MTF Thörishaus AG","+41 31 888 88 88",""
muri-muri.ch,,,"Muri & Muri Coaching","",""
netcetera.com,,,"Netcetera","+41 44 297 55 55","Zürich"
noerdli.ch,,,"Noerdli","",""
nufatron.ch,,,"Nufatron AG","","Wil"
open-systems.com,,,"Open Systems AG","+41 58 100 10 10","Zürich"
previon.ch,,,"Previon","","Aarau"
puzzle.ch,,,"Puzzle ITC","+41 31 370 22 00",""
rmdit.ch,,,"RMD Informatik GmbH","",""
swiss-host.ch,,,"swiss-host.ch","",""
turm-ecommerce.ch,,,"Turm E-Commerce","","St.Gallen"
tydac.ch,,,"Tydac","+41 31 368 01 80",""
unic.com,,,"Unic AG","+41 44 560 12 12","Zürich"
versatec.ch,,,"Versatec GmbH","","Luzern"
vis-ag.ch,,,"VIS Consulting AG","+41 56 511 02 50","Lenzburg"
visol.ch,,,"visol digitale Dienstleistungen AG","+41 41 511 55 55","Kriens"
winformatic.ch,,,"Winformatic AG","",""
zuehlke.com,,,"Zühlke Engineering AG","","Schlieren"
